"","Age","Carbongpersqm"
"114",115,15247.4600720317
"115",116,15303.1842595336
"116",117,15325.6425839423
"117",118,15344.6403927848
"118",119,15314.7536187411
"119",120,15375.4309933592
"120",121,15422.163620946
"121",122,15501.865973569
"122",123,15470.1720210758
"123",124,15496.5959237926
"124",125,15530.2172567519
"125",126,15556.2167312987
"126",127,15587.2167310454
"127",128,15609.9888658046
"128",129,15673.5719012773
"129",130,15651.9736601949
"130",131,15699.1816246406
"131",132,15747.3009865554
"132",133,15848.559972412
"133",134,15860.0827990417
"134",135,15873.1746951254
"135",136,15901.4702824215
"136",137,15883.8586460764
"137",138,15927.5773524544
"138",139,16031.6594118589
"139",140,16075.5577775955
"140",141,16173.7093449472
"141",142,16207.1847637964
"142",143,16243.6470700869
"143",144,16303.9670963448
"144",145,16302.7006659051
"145",146,16361.3924306597
"146",147,16395.06961248
"147",148,16485.2018975208
"148",149,16472.976440233
"149",150,16464.9541347799
"150",151,16507.1782972696
"151",152,16631.8729554688
"152",153,16673.1558743194
"153",154,16724.1815074559
"154",155,16742.9234722572
"155",156,16740.2120829518
"156",157,16757.8550697795
"157",158,16867.8594404893
"158",159,16813.7344871372
"159",160,16884.1377522577
"160",161,16886.848957734
"161",162,16911.3974708119
"162",163,17026.0838314152
"163",164,16999.6087148004
"164",165,17041.7291327237
"165",166,17064.9440292435
"166",167,17106.7575604153
"167",168,17181.6319075042
"168",169,17246.7288359978
"169",170,17247.2434563647
"170",171,17275.4453473898
"171",172,17292.0243849533
"172",173,17377.6252618771
"173",174,17424.8021227447
"174",175,17481.5960768857
"175",176,17500.0510677022
"176",177,17462.0305529635
"177",178,17490.435235281
"178",179,17534.2269176869
"179",180,17582.7539790574
"180",181,17640.488051532
"181",182,17678.1829907191
"182",183,17757.9004541143
"183",184,17856.8684152644
"184",185,17917.8841297133
"185",186,17924.157070255
"186",187,18002.681552104
"187",188,17908.9005793088
"188",189,17970.3991449662
"189",190,17978.9099701213
"190",191,18046.201723277
"191",192,18067.9931016422
"192",193,17976.9110433505
"193",194,18018.8038986046
"194",195,18109.7001543009
"195",196,18149.6173248651
"196",197,18207.5694445957
"197",198,18324.7199909629
"198",199,18265.6903288616
"199",200,18372.3154880201
"200",201,18417.0887310497
"201",202,18401.0183617295
"202",203,18427.8822553388
"203",204,18496.4586822099
"204",205,18505.7376895684
"205",206,18487.7114064453
"206",207,18528.6807063386
"207",208,18408.3849375624
"208",209,18446.4946110653
"209",210,18493.3458639106
"210",211,18573.1635663739
"211",212,18608.2942577511
"212",213,18637.6374695084
"213",214,18708.5587316128
"214",215,18771.5377822195
"215",216,18869.5772141125
"216",217,18863.2130175623
"217",218,18945.3202521871
"218",219,19024.7256239553
"219",220,19111.2256833909
"220",221,19068.7190911865
"221",222,19120.8211335511
"222",223,19004.2676737591
"223",224,19047.5910368956
"224",225,19005.83141183
"225",226,18940.5833949998
"226",227,19003.6914046345
"227",228,19024.5385815997
"228",229,18974.2049888557
"229",230,19025.8153796242
"230",231,18987.8819691956
"231",232,19051.3624903337
"232",233,19025.0188750105
"233",234,18975.0171500807
"234",235,19002.3712575305
"235",236,18904.3569219485
"236",237,18969.5664750678
"237",238,19049.4552984437
"238",239,18942.3552155056
"239",240,18985.577409491
