"","Time","ABio","BBio","TotalDOM","DelBio","Turnover","NetGrowth","NPP","Rh","NEP","NBP","ToFPS","Scenario","ABio_sd","BBio_sd","TotalDOM_sd","DelBio_sd","Turnover_sd","NetGrowth_sd","NPP_sd","Rh_sd","NEP_sd","NBP_sd","ToFPS_sd","Burn","StandAge","Harvest","Rate","LiveC","ABioMgha","BBioMgha","TotalCMgha","TotalDOMMgha","NewTotalC","NBP_corrected","D","NEP_corrected","NPP_corrected","NetGrowth_corrected","ToFPSMgha","ToAirBurn","ToAirBurnMgha","NPPMgha","NEPMgha","NBPMgha","RhMgha","LiveCMgha","Year","HarvestIntensity","PH","ABio_CO2eha","BBio_CO2eha","Live_CO2eha","TotalDOM_CO2eha","TotalC_CO2eha","NPP_CO2eha","NEP_CO2eha","ToFPS_CO2eha","ToAirBurn_CO2eha","AvgFPS","AvgFPSMgha","AvgTotalCMgha","Percentage","ToFPS_m3ha","ToFPS_m3Total","ToFPS_m3harvested","X.1","X","Group.1","total_SingleFamilyHomes","total_MultiFamilyHomes","total_CommercialBuildings","total_ManufProds","total_Paper","total_Shipping","total_Repairs","total_Other","total_CO2eStorageinProducts","total_CO2eStorageInLandfillsandDumps","total_CO2eEmissionsfromLandfillandDumps","total_CH4EmissionsfromLandfillsandDumps_CO2e","total_CO2EmissionsfromLandfillsandDumps","total_BiogenicManufacturingEmissions","total_CradletoGateFossilEmissions_CO2e","Time.y","ToFPS.x","ToFPS.y","snagFPS","Total","sub1","sub2","r","yrly_landfill","yrly_biogenic","yrly_fossil","yrly_HWPflux","yrly_HWPfluxha","yrly_HWPfluxNoFossil","yrly_HWPfluxhaNoFossil","yrly_HWPflux_sub1","yrly_HWPfluxha_sub1","yrly_HWPfluxNoFossil_sub1","yrly_HWPfluxhaNoFossil_sub1","yrly_HWPfluxNoFossil_sub2","yrly_HWPfluxhaNoFossil_sub2","NSPCO2ehaNoFossil","NSPCO2ehaWithFossil","NSPCO2ehaNoFossilWithSub1","NSPCO2ehaNoFossilWithSub2","CumNSPCO2ehaNoFossil","CumNSPCO2ehaWithFossil","CumNSPCO2ehaNoFossilWithSub1","CumNSPCO2ehaNoFossilWithSub2","Baseline","NSPCO2ehaDiff","CumNSPCO2ehaDiff","ProductsCO2eha","LandfillCO2eha","TotalCO2eStorageha","TotalSystemCo2eha","TotalSystemMgha"
"11",11,20135.42281,5879.544023,27663.10658,54.91513125,619.2376451,41.83833525,661.082288,588.2248655,72.85059363,72.85059363,0,"NoHarvest150",8.76346251662321,2.55952311530527,7.89288563462916,3.505405004411,0.25367148834854,0.0655497412571672,0.232039915430575,0.319938288470363,0.51256149441367,0.51256149441367,0,"Burn",150,"NoHarvest","High",26014.966833,201.3542281,58.79544023,536.78073413,276.6310658,53678.073413,94.3062060000011,0,94.3062060000011,682.531071500001,63.2934264000011,0,0,0,6.82531071500001,0.943062060000011,0.943062060000011,5.882248655,260.14966833,2036,"0","No",738.298836366667,215.583280843333,953.88211721,1014.31390793333,1968.19602514333,25.0261392883334,3.45789422000004,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45789422000004,3.45789422000004,3.45789422000004,3.45789422000004,40.10871931,40.10871931,40.10871931,40.10871931,3.45789422000004,0,0,0,0,0,1968.19602514333,536.78073413
"12",12,20177.61851,5891.868251,27701.54157,54.50972725,619.7850395,41.24201575,661.0286614,589.4442558,71.58403363,71.58403363,0,"NoHarvest150",9.86652784879046,2.88106007735065,9.29708840282139,4.14881785104749,0.296276164814587,0.0464324735155944,0.284953859561959,0.366408688741947,0.624558248333569,0.624558248333569,0,"Burn",150,"NoHarvest","High",26069.486761,201.7761851,58.91868251,537.71028331,277.0154157,53771.028331,92.9549180000031,0,92.9549180000031,682.399173800003,62.614134300003,0,0,0,6.82399173800003,0.929549180000031,0.929549180000031,5.894442558,260.69486761,2037,"0","No",739.846012033333,216.035169203333,955.881181236667,1015.7231909,1971.60437213667,25.0213030393334,3.40834699333345,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40834699333345,3.40834699333345,3.40834699333345,3.40834699333345,43.5170663033335,43.5170663033335,43.5170663033335,43.5170663033335,3.40834699333345,0,0,0,0,0,1971.60437213667,537.71028331
"13",13,20220.71517,5904.450066,27738.23581,55.67135563,620.3645983,41.25255025,661.6273786,590.5569823,71.0718125,71.0718125,0,"NoHarvest150",9.90721755208426,2.89257354038233,9.47341059063321,3.98852965432636,0.292444942593905,0.0422341613328219,0.284871018407633,0.38619293657931,0.648898662803999,0.648898662803999,0,"Burn",150,"NoHarvest","High",26125.165236,202.2071517,59.04450066,538.63401046,277.3823581,53863.401046,92.3727149999977,0,92.3727149999977,682.929697299998,62.5650989999976,0,0,0,6.82929697299998,0.923727149999977,0.923727149999977,5.905569823,261.25165236,2038,"0","No",741.4262229,216.49650242,957.92272532,1017.06864636667,1974.99137168667,25.0407555676666,3.38699954999992,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38699954999992,3.38699954999992,3.38699954999992,3.38699954999992,46.9040658533334,46.9040658533334,46.9040658533334,46.9040658533334,3.38699954999992,0,0,0,0,0,1974.99137168667,538.63401046
"14",14,20264.31108,5917.18046,27773.1859,56.32993225,620.9301728,40.73437075,661.658743,591.5700209,70.08661075,70.08661075,0,"NoHarvest150",10.3785042471071,3.03002710884245,9.71766674759236,3.55948877943453,0.322117017014927,0.0468177999993202,0.313223707847334,0.380779624229658,0.663397242974067,0.663397242974067,0,"Burn",150,"NoHarvest","High",26181.49154,202.6431108,59.1718046,539.5467744,277.731859,53954.67744,91.2763940000004,0,91.2763940000004,682.8464149,61.9162421000004,0,0,0,6.828464149,0.912763940000004,0.912763940000004,5.915700209,261.8149154,2039,"0","No",743.0247396,216.963283533333,959.988023133333,1018.35014966667,1978.3381728,25.0377018796667,3.34680111333335,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34680111333335,3.34680111333335,3.34680111333335,3.34680111333335,50.2508669666667,50.2508669666667,50.2508669666667,50.2508669666667,3.34680111333335,0,0,0,0,0,1978.3381728,539.5467744
"15",15,20306.18992,5929.408977,27809.19282,54.10874738,621.4915034,40.14371163,661.6309495,592.6413551,68.99021775,68.99021775,0,"NoHarvest150",11.0962333866187,3.24059484255068,10.7208273333988,4.14938553516809,0.344239612423327,0.0494328561514122,0.334910128316648,0.425240150273844,0.721274390338716,0.721274390338716,0,"Burn",150,"NoHarvest","High",26235.598897,203.0618992,59.29408977,540.44791717,278.0919282,54044.791717,90.1142770000006,0,90.1142770000006,682.755632100001,61.2641287000006,0,0,0,6.82755632100001,0.901142770000006,0.901142770000006,5.926413551,262.35598897,2040,"0","No",744.560297066667,217.41166249,961.971959556667,1019.6704034,1981.64236295667,25.034373177,3.30419015666669,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30419015666669,3.30419015666669,3.30419015666669,3.30419015666669,53.5550571233334,53.5550571233334,53.5550571233334,53.5550571233334,3.30419015666669,0,0,0,0,0,1981.64236295667,540.44791717
"16",16,20347.34666,5941.427939,27845.07514,53.18238575,622.0206773,39.62648038,661.637445,593.6994651,67.938556,67.938556,0,"NoHarvest150",10.6658606962766,3.11408277582518,9.40493181021169,4.3395978070792,0.316040610348443,0.0572724692247679,0.30668573077423,0.341142795140063,0.600433051720963,0.600433051720963,0,"Burn",150,"NoHarvest","High",26288.774599,203.4734666,59.41427939,541.33849739,278.4507514,54133.849739,89.0580219999974,0,89.0580219999974,682.757487099997,60.7368097999974,0,0,0,6.82757487099997,0.890580219999974,0.890580219999974,5.936994651,262.88774599,2041,"0","No",746.069377533333,217.852357763333,963.921735296667,1020.98608846667,1984.90782376333,25.0344411936666,3.26546080666657,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26546080666657,3.26546080666657,3.26546080666657,3.26546080666657,56.82051793,56.82051793,56.82051793,56.82051793,3.26546080666657,0,0,0,0,0,1984.90782376333,541.33849739
"17",17,20387.72442,5953.217484,27880.79091,52.17790213,622.5267841,39.06345263,661.5801299,594.7459028,66.83288988,66.83288988,0,"NoHarvest150",11.2803515445893,3.29365720546143,9.28392918069136,3.51767892615953,0.330919636961145,0.0562636572980233,0.318154650205961,0.312409600057072,0.602557062240777,0.602557062240777,0,"Burn",150,"NoHarvest","High",26340.941904,203.8772442,59.53217484,542.21732814,278.8079091,54221.732814,87.8830750000052,0,87.8830750000052,682.628977800005,60.1021937000052,0,0,0,6.82628977800005,0.878830750000052,0.878830750000052,5.947459028,263.40941904,2042,"0","No",747.5498954,218.28464108,965.83453648,1022.2956667,1988.13020318,25.0297291860002,3.22237941666686,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22237941666686,3.22237941666686,3.22237941666686,3.22237941666686,60.0428973466668,60.0428973466668,60.0428973466668,60.0428973466668,3.22237941666686,0,0,0,0,0,1988.13020318,542.21732814
"18",18,20426.98192,5964.680112,27916.76161,50.7257465,623.0037343,38.59463513,661.5920488,595.803186,65.789219,65.789219,0,"NoHarvest150",11.5428568402975,3.37044035509192,8.78818703485413,4.88598088796886,0.335745761156098,0.0615401438112749,0.322012268454473,0.281226509396085,0.57631992550305,0.57631992550305,0,"Burn",150,"NoHarvest","High",26391.662032,204.2698192,59.64680112,543.08423642,279.1676161,54308.423642,86.6908279999989,0,86.6908279999989,682.494013999999,59.4902796999988,0,0,0,6.82494013999999,0.866908279999989,0.866908279999989,5.95803186,263.91662032,2043,"0","No",748.989337066667,218.70493744,967.694274506667,1023.61459236667,1991.30886687333,25.0247805133333,3.17866369333329,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17866369333329,3.17866369333329,3.17866369333329,3.17866369333329,63.2215610400001,63.2215610400001,63.2215610400001,63.2215610400001,3.17866369333329,0,0,0,0,0,1991.30886687333,543.08423642
"19",19,20465.51838,5975.932525,27952.58504,49.79331288,623.4629369,38.20078975,661.6607326,596.8426478,64.81743625,64.81743625,0,"NoHarvest150",13.2817859999565,3.87843415809183,10.2131912169546,4.44026188470322,0.405293606289635,0.0664729127901185,0.385091623522102,0.347682902899118,0.704771787796131,0.704771787796131,0,"Burn",150,"NoHarvest","High",26441.450905,204.6551838,59.75932525,543.94035945,279.5258504,54394.035945,85.6123030000017,0,85.6123030000017,682.454950800002,58.9920139000017,0,0,0,6.82454950800002,0.856123030000017,0.856123030000017,5.968426478,264.41450905,2044,"0","No",750.4023406,219.117525916667,969.519866516667,1024.92811813333,1994.44798465,25.0233481960001,3.13911777666673,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13911777666673,3.13911777666673,3.13911777666673,3.13911777666673,66.3606788166669,66.3606788166669,66.3606788166669,66.3606788166669,3.13911777666673,0,0,0,0,0,1994.44798465,543.94035945
"20",20,20505.24814,5987.533865,27986.20954,51.33826613,623.9469949,37.9748725,661.9144709,597.772749,64.14228825,64.14228825,0,"NoHarvest150",13.5330209813426,3.95145800542941,10.4368969837754,4.47106485111375,0.402790299501706,0.0684089587854201,0.378433577264016,0.368565796238388,0.703447467060534,0.703447467060534,0,"Burn",150,"NoHarvest","High",26492.782005,205.0524814,59.87533865,544.78991545,279.8620954,54478.991545,84.9555999999939,0,84.9555999999939,682.728348999994,58.7813540999938,0,0,0,6.82728348999994,0.849555999999939,0.849555999999939,5.97772749,264.92782005,2045,"0","No",751.859098466667,219.542908383333,971.40200685,1026.16101646667,1997.56302331667,25.0333727966664,3.11503866666644,0,0,0,0,548.403611885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11503866666644,3.11503866666644,3.11503866666644,3.11503866666644,69.4757174833333,69.4757174833333,69.4757174833333,69.4757174833333,3.11503866666644,0,0,0,0,0,1997.56302331667,544.78991545
